#{"t_start": 1721061754.133406, "env_id": "None"}
r,l,t
-1500.0,3000,231.712129
-1500.0,3000,435.902628
-1500.0,3000,462.388904
-1500.0,3000,712.984182
-270.0,3000,914.873974
-1220.0,3000,948.051451
-1360.0,3000,1180.868708
210.0,3000,1383.53507
-360.0,3000,1411.814341
-660.0,3000,1651.982467
-940.0,3000,1837.886363
-380.0,3000,1864.097823
-940.0,3000,2062.317057
-380.0,3000,2260.248708
-1220.0,3000,2289.631779
-620.0,3000,2498.089565
-1500.0,3000,2691.431883
120.0,3000,2722.778334
210.0,3000,2979.548341
-1500.0,3000,3162.390131
-940.0,3000,3190.008693
-1500.0,3000,3391.088196
-1500.0,3000,3595.079236
-1020.0,3000,3619.817687
-680.0,3000,3854.844826
-1500.0,3000,4069.850832
-360.0,3000,4097.707555
-1220.0,3000,4319.13185
-660.0,3000,4487.213594
-660.0,3000,4510.730657
-940.0,3000,4747.323802
-940.0,3000,4930.832289
-1220.0,3000,4961.178454
-940.0,3000,5214.063943
-660.0,3000,5384.867368
1020.0,3000,5407.479188
